semente,braco,R2ag_q,R2ag_p,R2ag_ev,RMSE_q,RMSE_p,RMSE_ev,med_q,med_p,med_ev
42,com,0.9764715021684088,0.9913919252160398,0.9143353878375764,48.73149430838396,17.71568158892777,0.0039465818013488,0.8914365723872522,0.8657442345627056,0.930205394895397
42,sem,0.9714340697159308,0.9886348454425116,0.8989538960093872,53.69536692729065,20.35600380369028,0.004286276360289,0.8265526029208247,0.732425182933116,0.9172697913703918
7,com,0.9785528930977884,0.9924979272276012,0.9145601684902848,46.5261360989572,16.53847597002094,0.0039414005607251,0.8962761780120361,0.894004818553275,0.929183851862334
7,sem,0.969926126304054,0.9874572078408252,0.9057006249452184,55.094381787626105,21.38464096826151,0.0041407097569805,0.8529400224412078,0.8050158177794019,0.9183843312161024
123,com,0.98027548223454,0.9912089201333124,0.9144824797953852,44.61858831892697,17.903006241630585,0.0039431920711131,0.9061645852602214,0.8645001447225977,0.9267434400881108
123,sem,0.9730550724940934,0.9897440774772864,0.8966885689654923,52.14961880555029,19.337138861489336,0.0043340565244532,0.8758475711427468,0.7958436372153531,0.9062443826793714
2024,com,0.976550299747976,0.9929850120747056,0.917485685780162,48.64982432195097,15.992571983444458,0.0038733347279545,0.9021886462899504,0.87353902023572,0.944699579374252
2024,sem,0.9718052157869032,0.9890868441442908,0.8988481705475192,53.34540492527004,19.947112132762488,0.0042885181590985,0.8628814536821043,0.8504109791949479,0.922413900462707
31,com,0.9789160579398916,0.9922861951898462,0.91427322752979,46.13053969072141,16.770235947191367,0.0039480134091432,0.9185217997659914,0.8778567223155171,0.9371420672076762
31,sem,0.9722370899635508,0.9882716051766748,0.9002179058598808,52.93526863805318,20.678743157897816,0.0042593829642318,0.8425435003207298,0.7836650058603915,0.9209958897788416
