semente,braco,fold,po_kpa,teor_de_fibra,comp_de_fibra,R2_q,R2_p,R2_ev
42,com,1,50,0.0,0.0,-4.332174223203169,-1.4159863566219402,0.917358725841064
42,sem,1,50,0.0,0.0,0.2555714760880949,0.0287019417877787,0.7812772131981335
42,com,2,50,0.5,25.0,-1.054776757183271,-1.9635790768954264,0.9680838185164762
42,sem,2,50,0.5,25.0,-0.4950703165173542,0.3198093726590273,0.9524440730803586
42,com,3,50,0.5,51.0,0.651160044340341,0.5335566099084277,0.9823637925852045
42,sem,3,50,0.5,51.0,0.5639409955274894,0.2604117858801449,0.9720257458944116
42,com,4,50,1.0,12.5,0.4035815575912972,-0.2831149711839686,0.9124997248781784
42,sem,4,50,1.0,12.5,0.4595812294818103,0.3157992082218043,0.904525385827467
42,com,5,50,1.0,25.0,0.6352440042637384,0.725928887287203,0.9272145544550516
42,sem,5,50,1.0,25.0,0.7491204160926302,0.5919202517836183,0.921032790932699
42,com,6,50,1.0,51.0,0.8874396094466397,0.8360881912345803,0.9717990141711468
42,sem,6,50,1.0,51.0,0.8917543621811445,0.7483798622105702,0.9664165444256824
42,com,7,100,0.0,0.0,0.5974450842726875,0.4445624772035432,0.9467004250840936
42,sem,7,100,0.0,0.0,0.6262074475148912,0.4233547977404426,0.9332845716026572
42,com,8,100,0.5,25.0,0.8877208111281346,0.8798991964279794,0.5309481491882346
42,sem,8,100,0.5,25.0,0.6772839925477094,0.3162453084035166,0.6263203532073396
42,com,9,100,0.5,51.0,0.6934082234038239,0.5636538945071635,0.857860684832873
42,sem,9,100,0.5,51.0,0.7955351002153658,0.6757675428707395,0.8797346607805099
42,com,10,100,1.0,12.5,0.9180868078320342,0.9411598990696904,0.6855731059253396
42,sem,10,100,1.0,12.5,0.7635675876586445,0.7164705036556618,0.6146407152633999
42,com,11,100,1.0,25.0,0.8951523336463698,0.7978366589225261,0.822703457983009
42,sem,11,100,1.0,25.0,0.5054527872968222,0.5134621691672432,0.8028755592982673
42,com,12,100,1.0,51.0,0.9465266394274584,0.9579624863875856,0.9719718806113984
42,sem,12,100,1.0,51.0,0.952153599355502,0.9097509068261036,0.9595869937810456
42,com,13,200,0.0,0.0,0.9088978608060176,0.85382413275318,0.9336119441727848
42,sem,13,200,0.0,0.0,0.9046015316142036,0.8499752509068241,0.9739585812619368
42,com,14,200,0.5,25.0,0.9168747293946432,0.8860856489278535,0.9331962353357424
42,sem,14,200,0.5,25.0,0.6112197397607991,0.6474913989262185,0.8927147998401718
42,com,15,200,0.5,51.0,0.9616077735646454,0.948108135245906,0.956410794753127
42,sem,15,200,0.5,51.0,0.9065501017663454,0.8781128402151306,0.9560353621800696
42,com,16,200,1.0,12.5,0.9775453513630642,0.9576375020558032,0.9854754966339904
42,sem,16,200,1.0,12.5,0.9665719947486942,0.9347178647248072,0.9931335322360934
42,com,17,200,1.0,25.0,0.9616307089405488,0.9819334613870406,0.9268222791195156
42,sem,17,200,1.0,25.0,0.9130560085138356,0.8933417862075219,0.9135067918080846
42,com,18,200,1.0,51.0,0.9743663904225373,0.9641954471735902,0.9030167919604278
42,sem,18,200,1.0,51.0,0.9818848755952104,0.9723509878795724,0.9095163929204654
42,com,19,300,0.0,0.0,0.8554282073393167,0.8736442248362433,0.823740659173109
42,sem,19,300,0.0,0.0,0.7765810740913887,0.7910502474868362,0.8020322560493993
42,com,20,300,0.5,25.0,0.8540811887672333,0.8103360358339433,0.8876883903871642
42,sem,20,300,0.5,25.0,0.8575701056262836,0.6250453184444016,0.722708780517719
42,com,21,300,0.5,51.0,0.8836018018788063,0.8578442442891678,0.944596394255135
42,sem,21,300,0.5,51.0,0.8847111394499424,0.8710980373206381,0.9339491892452844
42,com,22,300,1.0,12.5,0.967622411969438,0.95582337744613,0.9436310918778464
42,sem,22,300,1.0,12.5,0.9645747910733988,0.9521890375181332,0.946808797908836
42,com,23,300,1.0,25.0,0.940668424836648,0.9257705478021866,0.9352803033126842
42,sem,23,300,1.0,25.0,0.967966132819306,0.9690945819449556,0.9820315879480191
42,com,24,300,1.0,51.0,0.9691654591883596,0.970915326667083,0.8439629915031643
42,sem,24,300,1.0,51.0,0.955604454746086,0.9626301610436572,0.8697917576422319
7,com,1,50,0.0,0.0,-1.7476376786085792,-0.8808780219745298,0.9118072584268538
7,sem,1,50,0.0,0.0,0.3891239944306258,0.4068281450961664,0.841987043725125
7,com,2,50,0.5,25.0,-3.007053362141725,-1.374430048034018,0.9567779883288596
7,sem,2,50,0.5,25.0,-1.5984666779876853,-2.009585815151468,0.9715844022067824
7,com,3,50,0.5,51.0,0.7770554693361662,0.857993809706536,0.984902188744499
7,sem,3,50,0.5,51.0,0.1388458618939265,0.104829339621291,0.9824400827788302
7,com,4,50,1.0,12.5,0.4405967037445988,0.5804469515978996,0.9056300277548818
7,sem,4,50,1.0,12.5,0.2969065424583328,0.1669238577141427,0.8822859304313453
7,com,5,50,1.0,25.0,0.562348046327407,0.7712265445791833,0.9257782050127904
7,sem,5,50,1.0,25.0,0.2583772221584496,0.6397374486789196,0.9204469273648216
7,com,6,50,1.0,51.0,0.9336598373897296,0.9308198328251148,0.9709358491795635
7,sem,6,50,1.0,51.0,0.9466911571379067,0.918832350848874,0.9692003736507726
7,com,7,100,0.0,0.0,0.8224453002405668,0.5689016747477132,0.9488901221815748
7,sem,7,100,0.0,0.0,0.2165645105560041,-0.0701719747203997,0.9163217350673836
7,com,8,100,0.5,25.0,0.9399586744255904,0.8691057591604181,0.3842435744231088
7,sem,8,100,0.5,25.0,0.8762679101841196,0.4109809797996856,0.606101217214128
7,com,9,100,0.5,51.0,0.6718073727988289,0.5466566619759228,0.8757686930166372
7,sem,9,100,0.5,51.0,0.8406319133917571,0.5875386360361569,0.9073124909089144
7,com,10,100,1.0,12.5,0.7479779507477714,0.9269024500517876,0.7259629070947824
7,sem,10,100,1.0,12.5,0.8192943828164114,0.690856564085951,0.6255087661685719
7,com,11,100,1.0,25.0,0.8608661174483709,0.8821732958576878,0.7983388326442665
