fold,po_kpa,teor_de_fibra,comp_de_fibra,n_pontos,epocas_ft,tempo_s,R2_q,R2_p,R2_ev,RMSE_q,RMSE_p,RMSE_ev
1,50,0.0,0.0,42,101,2.1629321575164795,-4.332169258518559,-1.415980737009916,0.9173587446884275,55.94802231488844,12.553310036282577,0.005179796603349869
2,50,0.5,25.0,60,159,3.801377058029175,-1.0546519418647047,-1.962019919062437,0.9680820642778716,39.238155658942446,15.704068714830592,0.0022044776213583084
3,50,0.5,51.0,56,124,2.742666721343994,0.6511597288532762,0.533556796852144,0.9823637748647078,26.990201468755647,10.403295833505826,0.0019097068654741688
4,50,1.0,12.5,49,115,2.5609874725341797,0.4035786824228077,-0.2831082090916275,0.9124996933779058,26.976822957902954,13.189386954402517,0.0043293790617528975
5,50,1.0,25.0,49,164,3.9582736492156982,0.6352451356674315,0.725919924942354,0.9272145397266689,27.338738705405422,7.899423644447172,0.00359770870720059
6,50,1.0,51.0,41,147,3.5241615772247314,0.8874392954182304,0.8360884165032204,0.9717989655618292,26.730621893561672,10.752246930012985,0.0020839261504731667
7,100,0.0,0.0,47,104,2.2520954608917236,0.5974454404637635,0.4445636534575752,0.9467003905619937,33.078997208391705,12.95197070617242,0.0032543429691673305
8,100,0.5,25.0,52,361,9.793932437896729,0.8877279486497524,0.879887440549344,0.5309524311456995,23.189171436946413,7.9950716170426235,0.006346878752168044
9,100,0.5,51.0,54,102,2.173955202102661,0.6934081586963028,0.5636538306176583,0.8578606908026642,63.37625973671455,25.20232671006492,0.006086258863910438
10,100,1.0,12.5,48,165,4.059598922729492,0.9180856456682487,0.9411611014699084,0.6855730487968759,20.137414391884352,5.6889840125117574,0.00630538687178766
11,100,1.0,25.0,45,105,2.2639317512512207,0.8951522952523792,0.7978365306230937,0.8227034737805422,28.097078976822214,13.005043065564271,0.006867278636750215
12,100,1.0,51.0,48,299,7.981674432754517,0.9465265450175082,0.9579627653665461,0.9719718664148878,30.48781402245926,9.010584807145303,0.0017319385565556942
13,200,0.0,0.0,59,134,3.0320780277252197,0.9088978218178452,0.853823764852849,0.9336119617529657,36.80182092972044,15.538963938407955,0.0026679403853832593
14,200,0.5,25.0,60,129,2.8792428970336914,0.9168747959993245,0.8860855043799831,0.933196229768946,37.72921051387219,14.722433341760212,0.0036498104308266615
15,200,0.5,51.0,45,200,5.055246353149414,0.961607818714535,0.9481082378434323,0.9564108244051351,36.588648798127615,14.179239309982794,0.0026836119852806204
16,200,1.0,12.5,48,140,3.407257080078125,0.9775453532168741,0.9576374014795426,0.9854755048443644,19.765199447951034,9.049365475717646,0.0016085913693237909
17,200,1.0,25.0,43,198,5.036919116973877,0.9616302491289483,0.9819332885808137,0.9268223360955509,33.744788567873336,7.718457563753369,0.003305705275799842
18,200,1.0,51.0,44,400,10.989719867706299,0.9743636194568799,0.9641903431127963,0.9030196677698726,39.68805437601317,15.635446197022533,0.002664103634597167
19,300,0.0,0.0,59,134,3.0348644256591797,0.8554282225795257,0.8736442672916569,0.8237405373601515,70.39171986396808,21.935929246217974,0.004625518221989633
20,300,0.5,25.0,54,111,2.5138444900512695,0.8540812219119356,0.8103365836181899,0.8876883564531709,81.14513076887737,30.8373750099915,0.003668668254762576
21,300,0.5,51.0,54,322,8.732126235961914,0.8835993810265514,0.85786262540288,0.944611033009841,101.60783805538127,37.426779275073685,0.002968905395774118
22,300,1.0,12.5,49,398,11.226783752441406,0.9676216321214146,0.9558305057845924,0.9436309120062931,42.35987448502296,16.491765330875598,0.0031661262258074765
23,300,1.0,25.0,50,146,3.5394861698150635,0.9406684049207591,0.9257704885225901,0.9352802680436882,64.81178558446541,24.164511551108095,0.0035168548050856555
24,300,1.0,51.0,51,227,5.956284284591675,0.9691639719490562,0.9709153067028514,0.8439656788474081,68.35637558634893,22.128949659656545,0.0035820521618824554
